Ref,,,,,,,,,,,,,,,,,,,,,,,,,,
,TS222,TS223,TS224,TS225,TS226,TS227,TS228,TS230,TS231,TS232,TS233,TS234,TS235,TS236,TS237,TS239,TS240,TS241,TS242,TS243,TS244,TS245,TS246,TS247,,
Mo,4.810360777,6.183574879,4.583333333,6.305506217,6.380208333,7.751937984,5.970149254,6.884970613,0.556792873,10.16166282,7.668231612,6.972111554,8.717310087,4.657179819,5.774783446,7.823741007,8.88030888,8.510638298,5.40765391,7.397959184,1.654846336,7.24088973,11.2,8.760330579,,
G,54.67160037,60,60.5,41.56305506,42.31770833,58.69324474,46.16204691,46.17968094,32.51670379,39.64588145,64.24100156,50.89641434,51.68119552,41.52652005,48.89316651,49.91007194,45.32818533,43.49881797,63.14475874,43.28231293,22.93144208,68.29152863,60.58181818,47.9338843,,
RBC,1.942645698,1.449275362,1.833333333,9.058614565,5.989583333,1.550387597,3.198294243,1.3434089,0.779510022,9.545804465,2.89514867,9.960159363,4.607721046,0.776196636,2.694898941,3.776978417,0.463320463,0.827423168,1.663893511,3.06122449,2.600472813,3.97539044,3.781818182,2.975206612,,
NK,5.657252892,2.806079078,3.973012711,2.251308257,4.57619477,4.713341386,4.026240816,3.087490263,5.225328927,3.2419874,1.332660795,2.722963944,3.683555089,14.65919608,6.608758422,1.503674187,6.650773044,1.574866943,2.251767968,4.657070927,6.593944515,2.347849042,2.755353075,2.594224228,,
B,8.768741982,2.806079078,4.857996585,4.601938938,5.720243463,4.145215415,10.88173194,5.814773328,11.34179922,6.540194234,4.081273684,6.076243615,7.119707225,4.364384121,7.759961501,8.585494553,6.710154946,9.200538459,6.546376979,5.801825792,8.867718486,4.86045942,5.844688341,4.972263104,,
CD4T,22.02792845,23.08764073,21.27727186,32.11425014,30.97103246,18.15898936,26.30658695,32.1613569,42.12668282,24.17435691,16.05439801,18.80862131,20.23206377,28.7535895,23.87680462,25.46544995,28.1074337,31.77363131,19.15163478,32.78161658,51.24736719,12.23352922,13.52627873,27.62368391,,
CD8T,2.121469834,3.667350874,2.975052172,4.105326822,4.045029306,4.98688352,3.454949889,4.528319052,7.453182346,6.690112726,3.727285661,4.563485868,3.95844726,5.262933793,4.391626564,2.934589946,3.859823641,4.614083852,1.833914118,3.017990098,6.104208583,1.050353519,2.310043487,5.140407267,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
nnlm_predictions,,,,,,,,,,,,,,,,,,,,,,,,,,
,TS222,TS223,TS224,TS225,TS226,TS227,TS228,TS230,TS231,TS232,TS233,TS234,TS235,TS236,TS237,TS238,TS239,TS241,TS242,TS243,TS244,TS245,TS246,TS247,,
Mo,12.74771986,8.665967709,7.631508384,6.958738687,6.259393598,8.646524157,12.67522445,9.109297058,9.678271007,8.323754606,5.77505827,7.252647696,7.26346753,6.874454572,7.463222618,9.482468271,8.023031731,10.53397377,9.260458483,9.970760211,9.993480674,10.12206167,7.562333536,8.826206611,,-0.235984312
G,21.44557034,20.8489181,16.80357818,20.08217392,18.93005661,14.04466161,19.87159152,20.7651239,23.91904675,18.36963606,15.89173194,16.13618913,14.05804253,17.8040934,21.15960512,18.71555831,22.03506605,25.12798523,18.93172691,31.86170145,13.67196812,24.96733799,22.78005065,13.45916334,,-0.007611545
RBC,11.53711823,14.01601213,10.77340051,11.78158956,10.86155098,9.756661957,9.631592225,13.17850168,16.19719046,13.46307172,9.967845408,14.66220256,9.942783833,10.83357564,12.8918762,11.99120062,12.93595415,16.75335584,11.18305902,13.2861095,10.29964935,13.25858889,16.99764658,16.26257906,,0.012549781
NK,24.76905783,26.26257369,41.82957679,30.94157801,32.26603857,45.34036381,35.42817979,35.51155589,31.60096925,25.17230968,42.65292188,39.51722499,35.31310053,27.09667919,23.76003425,31.53698867,30.90386331,23.89761256,39.02631136,21.63632488,38.23759675,21.07590691,28.57229991,25.97420402,,-0.130127089
B,8.397325414,9.160976367,8.525268429,9.202067795,10.92664444,7.303825102,7.211054317,7.363163136,5.203353367,7.415362294,8.90619925,8.528072265,10.47087843,4.240614112,8.928781818,6.327413725,6.822268895,8.306346268,7.243357483,1.197242654,8.588658454,4.53918129,9.816723472,12.71835732,,-0.123811851
CD4T,9.602360586,7.771168684,7.467342788,4.214521701,6.827424958,5.771641253,4.632542401,5.361673584,5.746988432,6.40591614,4.223060142,6.987383915,8.587904585,26.07984856,14.47125558,9.997822368,13.73495264,7.282216279,4.930320177,12.55765648,5.281577003,15.37492458,3.973943074,7.428998137,,-0.048390069
CD8T,11.50084774,13.27438333,6.969324917,16.81933032,13.92889083,9.136322111,10.5498153,8.710684752,7.65418073,20.8499495,12.58318311,6.916279441,14.36382257,7.070734521,11.32522443,11.94854804,5.544863227,8.098510045,9.424766568,9.490204809,13.92706966,10.66199868,10.29700278,15.3304915,,0.189977948
,,,,,,,,,,,,,,,,,,,,,,,,,,
correlation,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.386535017,0.250389847,0.018488952,-0.146077581,-0.052630273,-0.07527675,-0.02478112,-0.022190208,-0.109675082,-0.109165184,-0.071333111,-0.073688376,-0.156158675,0.638413796,0.496626036,0.018237915,0.339203824,0.197243707,0.052263482,0.627001738,-0.3317124,0.672358173,0.28321585,-0.387520953,,
