\,"\""Mo""",G,RBC,NK,B,CD4T,CD8T
TS222,12.74771986,21.44557034,11.53711823,24.76905783,8.397325414,9.602360586,11.50084774
TS223,8.665967709,20.8489181,14.01601213,26.26257369,9.160976367,7.771168684,13.27438333
TS224,7.631508384,16.80357818,10.77340051,41.82957679,8.525268429,7.467342788,6.969324917
TS225,6.958738687,20.08217392,11.78158956,30.94157801,9.202067795,4.214521701,16.81933032
TS226,6.259393598,18.93005661,10.86155098,32.26603857,10.92664444,6.827424958,13.92889083
TS227,8.646524157,14.04466161,9.756661957,45.34036381,7.303825102,5.771641253,9.136322111
TS228,12.67522445,19.87159152,9.631592225,35.42817979,7.211054317,4.632542401,10.5498153
TS230,9.109297058,20.7651239,13.17850168,35.51155589,7.363163136,5.361673584,8.710684752
TS231,9.678271007,23.91904675,16.19719046,31.60096925,5.203353367,5.746988432,7.65418073
TS232,8.323754606,18.36963606,13.46307172,25.17230968,7.415362294,6.40591614,20.8499495
TS233,5.77505827,15.89173194,9.967845408,42.65292188,8.90619925,4.223060142,12.58318311
TS234,7.252647696,16.13618913,14.66220256,39.51722499,8.528072265,6.987383915,6.916279441
TS235,7.26346753,14.05804253,9.942783833,35.31310053,10.47087843,8.587904585,14.36382257
TS236,6.874454572,17.8040934,10.83357564,27.09667919,4.240614112,26.07984856,7.070734521
TS237,7.463222618,21.15960512,12.8918762,23.76003425,8.928781818,14.47125558,11.32522443
TS238,9.482468271,18.71555831,11.99120062,31.53698867,6.327413725,9.997822368,11.94854804
TS239,8.023031731,22.03506605,12.93595415,30.90386331,6.822268895,13.73495264,5.544863227
TS241,10.53397377,25.12798523,16.75335584,23.89761256,8.306346268,7.282216279,8.098510045
TS242,9.260458483,18.93172691,11.18305902,39.02631136,7.243357483,4.930320177,9.424766568
TS243,9.970760211,31.86170145,13.2861095,21.63632488,1.197242654,12.55765648,9.490204809
TS244,9.993480674,13.67196812,10.29964935,38.23759675,8.588658454,5.281577003,13.92706966
TS245,10.12206167,24.96733799,13.25858889,21.07590691,4.53918129,15.37492458,10.66199868
TS246,7.562333536,22.78005065,16.99764658,28.57229991,9.816723472,3.973943074,10.29700278
TS247,8.826206611,13.45916334,16.26257906,25.97420402,12.71835732,7.428998137,15.3304915
