X,B,CD4T,CD8T,G,Mo,NK,RBC
cg00008647,0.072352,0.07432,0.075871,0.072724,0.07646,0.299599,0.098206
cg00025044,0.065995,0.070191,0.068315,0.068832,0.068543,0.068232,0.237987
cg00035969,0.046206,0.051926,0.058779,0.121245,0.05643,0.054227,0.298819
cg00058449,0.95553,0.331838,0.242658,0.210894,0.257774,0.074019,0.615413
cg00067758,0.16081,0.123704,0.117611,0.108495,0.109115,0.311912,0.12592
cg00080081,0.206366,0.404653,0.763532,0.123728,0.092218,0.391698,0.185771
cg00083188,0.54425,0.348911,0.365154,0.111357,0.100301,0.19406,0.173986
cg00092400,0.301845,0.057082,0.053367,0.085905,0.053028,0.106518,0.497096
cg00134539,0.887459,0.062491,0.068125,0.599938,0.730852,0.1956,0.254316
cg00142402,0.311424,0.046749,0.042205,0.143998,0.157768,0.122121,0.122709
cg00148114,0.128629,0.109419,0.116411,0.1256,0.11964,0.304676,0.133524
cg00159243,0.869974,0.657465,0.489601,0.126077,0.454836,0.251893,0.161698
cg00161225,0.1074,0.118073,0.131639,0.109776,0.1047,0.152026,0.404904
cg00194126,0.081959,0.110348,0.096984,0.084207,0.088026,0.336537,0.082049
cg00210856,0.913422,0.526432,0.51158,0.561956,0.183327,0.503098,0.644974
cg00221794,0.071038,0.573813,0.623431,0.83705,0.449454,0.248546,0.427212
cg00232402,0.052671,0.17378,0.252334,0.067112,0.059416,0.474419,0.16985
cg00244001,0.663925,0.391799,0.437624,0.193517,0.179517,0.4561,0.424277
cg00252472,0.678061,0.055303,0.056454,0.292903,0.496806,0.072301,0.32083
cg00294109,0.561903,0.330452,0.385791,0.104013,0.067469,0.281902,0.115403
cg00320288,0.068873,0.138753,0.185472,0.100399,0.067475,0.35679,0.150066
cg00324097,0.190399,0.041343,0.067701,0.719424,0.412324,0.40206,0.397075
cg00335124,0.928586,0.337614,0.48185,0.057492,0.629396,0.149611,0.6555
cg00360761,0.215141,0.305803,0.293879,0.208469,0.169063,0.065732,0.574346
cg00375132,0.929813,0.399233,0.601533,0.721261,0.683635,0.760455,0.621203
cg00388871,0.905154,0.617512,0.645381,0.101369,0.337138,0.651212,0.43038
cg00423486,0.043023,0.264506,0.172156,0.289438,0.279682,0.576923,0.39502
cg00458681,0.865231,0.152181,0.228162,0.399248,0.543908,0.490962,0.185262
cg00463732,0.871563,0.554688,0.327841,0.239201,0.420182,0.462845,0.595861
cg00502597,0.582023,0.070896,0.060344,0.412802,0.330634,0.281755,0.340169
cg00504599,0.928508,0.69473,0.598828,0.206602,0.319873,0.170213,0.575841
cg00522276,0.6402,0.396734,0.332021,0.40199,0.373733,0.181975,0.192374
cg00522883,0.119607,0.08929,0.089763,0.091214,0.122748,0.365016,0.081094
cg00539347,0.062053,0.480435,0.658303,0.033751,0.036713,0.131121,0.269473
cg00558804,0.135675,0.086491,0.084662,0.087122,0.088836,0.098939,0.297379
cg00565090,0.779516,0.547359,0.520572,0.507707,0.536153,0.539299,0.588685
cg00574379,0.854183,0.066944,0.06244,0.254065,0.554008,0.115627,0.525783
cg00581764,0.054407,0.19265,0.140689,0.13031,0.103692,0.425494,0.188329
cg00589520,0.262233,0.242805,0.290626,0.186648,0.202787,0.473114,0.14253
cg00606312,0.060628,0.279278,0.437406,0.060752,0.054976,0.159517,0.085885
cg00629585,0.1564,0.197317,0.23403,0.131643,0.145331,0.745907,0.185752
cg00673344,0.434832,0.661435,0.840174,0.24967,0.235071,0.542354,0.192315
cg00751332,0.207279,0.130418,0.237552,0.370113,0.399174,0.651571,0.208657
cg00755950,0.049222,0.103186,0.14199,0.037534,0.038634,0.330868,0.063779
cg00759427,0.045624,0.042101,0.054786,0.047591,0.049422,0.374385,0.151658
cg00776174,0.060786,0.321649,0.094163,0.089906,0.085179,0.065011,0.060469
cg00787726,0.77422,0.09273,0.051824,0.053666,0.391758,0.064359,0.504174
cg00795812,0.26372,0.089598,0.091508,0.836787,0.250123,0.447139,0.54701
cg00805193,0.915167,0.576634,0.539398,0.558455,0.275325,0.289807,0.650365
cg00834924,0.04431,0.049333,0.048462,0.049165,0.047311,0.045515,0.285513
cg00851088,0.121435,0.22808,0.476997,0.090704,0.092555,0.220783,0.097042
cg00860090,0.073729,0.076916,0.077037,0.107489,0.112211,0.166576,0.330489
cg00871371,0.044764,0.073399,0.04993,0.534994,0.360004,0.288396,0.379978
