F1,TS222,TS223,TS224,TS225,TS226,TS227,TS228,TS230,TS231,TS232,TS233,TS234,TS235,TS236,TS237,TS239,TS240,TS241,TS242,TS243,TS244,TS245,TS246,TS247
cg00008647,0.092152151,0.100493612,0.099638328,0.08647534,0.096839442,0.090125906,0.090031687,0.084041128,0.098072218,0.095030479,0.078733978,0.099487778,0.083190328,0.133561191,0.123229043,0.106530735,0.084162262,0.099477578,0.086540563,0.104682772,0.085977399,0.123635921,0.08502952,0.097557659
cg00025044,0.078757497,0.071830601,0.059763159,0.06629688,0.067798788,0.065055666,0.051250003,0.056900119,0.064228975,0.08014669,0.056719563,0.077640606,0.074671578,0.072256265,0.074249984,0.085549404,0.060707641,0.052033866,0.065646203,0.06694654,0.069505236,0.063822711,0.06080372,0.086054727
cg00375132,0.660367244,0.618449496,0.647381093,0.627516294,0.617320885,0.680723262,0.688662216,0.631617817,0.614194889,0.626559352,0.654325429,0.677613285,0.683796849,0.656178925,0.640561927,0.676305271,0.614927395,0.599538712,0.662552788,0.609629613,0.673511199,0.627424315,0.605265434,0.62977694
cg00058449,0.382875706,0.393552297,0.322322149,0.319772095,0.291017511,0.307041078,0.398957338,0.342301926,0.307877074,0.3942497,0.279247477,0.31809167,0.353980676,0.26503311,0.298687916,0.345760327,0.273852155,0.372617561,0.362206266,0.415219583,0.382309793,0.323892009,0.344151853,0.351901616
cg00067758,0.170426659,0.182243854,0.158428785,0.156928975,0.174342678,0.148464621,0.16829814,0.147424573,0.178090508,0.15723072,0.134470592,0.167444976,0.164424637,0.200556353,0.187713856,0.183916454,0.162509872,0.161553899,0.155559012,0.17173229,0.165854589,0.188165911,0.164491877,0.158421378
cg00080081,0.299167063,0.316453901,0.274835996,0.250197426,0.309843341,0.227901358,0.316713059,0.314435281,0.335818746,0.321649022,0.216883115,0.275214446,0.205843831,0.3266729,0.303379438,0.32562578,0.283337739,0.419415745,0.20418662,0.399885191,0.220892471,0.335800289,0.389626184,0.320689377
cg00083188,0.242571125,0.245581399,0.176751361,0.246595273,0.200882222,0.160242925,0.247086994,0.218117279,0.221566683,0.25744006,0.145386769,0.248797118,0.223247753,0.246872414,0.223424618,0.23251573,0.226277093,0.244716861,0.209449518,0.317795818,0.230459443,0.259473632,0.272906446,0.214484265
cg00092400,0.206260111,0.177933532,0.166694612,0.216787187,0.198821902,0.166102434,0.192637649,0.16334365,0.149872665,0.220824682,0.170636848,0.177540616,0.206609249,0.154085404,0.156565751,0.186538533,0.14730008,0.144047604,0.178787093,0.157984043,0.207250356,0.188230681,0.163455164,0.194711349
cg00134539,0.451946711,0.471598466,0.499310924,0.461803128,0.483801808,0.502967598,0.464142491,0.500506968,0.467856202,0.454916116,0.525276027,0.47367613,0.510758696,0.480137667,0.435908042,0.485362353,0.469885215,0.49881789,0.519586451,0.426898951,0.506748924,0.509673861,0.432773443,0.495023116
cg00142402,0.133080409,0.138502388,0.154406095,0.14986381,0.132745571,0.146320009,0.160862406,0.155784762,0.154317101,0.13322561,0.166734939,0.158225919,0.139259803,0.135061815,0.134533838,0.137063567,0.147622822,0.134310481,0.132426201,0.120301665,0.158909533,0.143465243,0.132272059,0.142298469
cg00148114,0.165183876,0.138930457,0.133045294,0.160058333,0.142642821,0.141411704,0.126809581,0.141763296,0.13976182,0.149755883,0.129031611,0.135925877,0.140390513,0.192373562,0.166112693,0.145395062,0.156981217,0.140495159,0.143020505,0.143873022,0.132371754,0.183277944,0.133614371,0.142457311
cg00159243,0.472801065,0.47374696,0.40368502,0.44710086,0.423360047,0.410687584,0.465285825,0.442853738,0.481281168,0.455132843,0.387470082,0.427172653,0.398218706,0.408218208,0.448688421,0.432959516,0.462032228,0.487880302,0.400696516,0.514556719,0.412812915,0.486981564,0.461541409,0.422831105
cg00161225,0.131987158,0.122314005,0.103137373,0.117898871,0.115929101,0.108782284,0.110160243,0.121528702,0.111046427,0.184952766,0.128183387,0.105130354,0.189842863,0.136740315,0.106698581,0.125940892,0.087948764,0.134088425,0.117752177,0.149936141,0.15108918,0.1177546,0.150555529,0.161192078
cg00194126,0.131307294,0.128272074,0.115230433,0.15039061,0.104909133,0.113114949,0.133594686,0.116228221,0.102068996,0.121570821,0.107167968,0.150449384,0.118216093,0.188949666,0.166798249,0.113001304,0.114836993,0.12809478,0.106658321,0.165683163,0.115986005,0.172261675,0.142350263,0.125121518
cg00210856,0.598165947,0.621001005,0.588765611,0.550206673,0.583081018,0.559654786,0.557220144,0.614412571,0.603822104,0.59354795,0.573804461,0.574506187,0.564951267,0.553871071,0.558698312,0.640336173,0.574383546,0.59906774,0.600546987,0.612324207,0.579361014,0.596580215,0.582228438,0.609943913
